manufact;model;sales;resale;type;price;engine_s;horsepow;wheelbas;width;length;curb_wgt;fuel_cap;mpg;lnsales;zresale;ztype;zprice;zengine_;zhorsepo;zwheelba;zwidth;zlength;zcurb_wg;zfuel_ca;zmpg;filter_$;logSales
Acura;Integra;16,919;16,36;0;21,5;1,8;140;101,2;67,3;172,4;2,639;13,2;28;2,82843725077666;-,149560618221778;-,592618775401597;-,410458276899195;-1,20700124170757;-,810378446772619;-,822788922602887;-1,11533688195974;-1,11255681328355;-1,17212353798345;-1,22222718856641;,970526586218014;1;2,82843725077666
Acura;TL;39,384;19,875;0;28,4;3,2;225;108,1;70,3;192,9;3,517;17,2;25;3,6733596424559;,157335576784713;-,592618775401597;,0703225717610769;,133156720615428;,68873123573365;,0801984308736042;-,246243207705392;,413677181603547;,220418450896137;-,193399769619371;,270037158265005;1;3,6733596424559
Acura;CL;14,114;18,225;0; ;3,2;225;106,9;70,6;192;3,47;17,2;26;2,64716721257864;,013273351532733;-,592618775401597; ;,133156720615428;,68873123573365;-,0768428479918712;-,159333840279958;,346671786706065;,145874631445863;-,193399769619371;,503533634249341;1;2,64716721257864
Acura;RL;8,588;29,725;0;42;3,5;210;114,6;71,4;196,6;3,85;18;22;2,15036588001653;1,01734340631926;-,592618775401597;1,01794859230886;,420333426827499;,424182468232544;,930838691394937;,072424472854537;,689143805070974;,748569341894885;,0123657141700376;-,430452269688004;1;2,15036588001653
Audi;A4;20,397;22,255;0;23,99;1,8;150;102,6;68,2;178;2,998;16,4;27;3,01538783121243;,365134422905751;-,592618775401597;-,236959101078314;-1,20700124170757;-,634012601771881;-,639574097259831;-,854608779683432;-,695634356143661;-,602735640480291;-,39916525340878;,737030110233678;1;3,01538783121243
Audi;A6;18,78;23,555;0;33,95;2,8;200;108,7;76,1;192;3,561;18,5;22;2,93279247378012;,478637994316402;-,592618775401597;,457037602205209;-,249745554334002;,247816623231806;,158719070306344;1,43400456251967;,346671786706065;,290204154211287;,140969141538418;-,430452269688004;1;2,93279247378012
Audi;A8;1,38;39;0;62;4,2;310;113;74;198,2;3,902;23,7;21;,322083499169113;1,82714773311448;-,592618775401597;2,41151626958501;1,090412407989;2,18784091823992;,721450319574302;,825638990541634;,808264507110942;,831043354903699;1,47844478616957;-,663948745672341;1;,322083499169113
BMW;323i;19,747; ;0;26,99;2,5;170;107,3;68,4;176;3,179;16,6;26,1;2,98300158107517; ;-,592618775401597;-,0279239494868916;-,536922260546073;-,281280911770406;-,0244957550367133;-,796669201399808;-,844535233693622;-,315662633661152;-,347723882461427;,526883281847775;1;2,98300158107517
BMW;328i;9,231;28,675;0;33,4;2,8;193;107,3;68,5;176;3,197;16,6;24;2,22256738500801;,925667444795274;-,592618775401597;,418714491080114;-,249745554334002;,12436053173129;-,0244957550367133;-,767699412257998;-,844535233693622;-,287113936850408;-,347723882461427;,0365406822806684;1;2,22256738500801
BMW;528i;17,527;36,125;0;38,9;2,8;193;111,4;70,9;188;3,472;18,5;24,8;2,86374254909104;1,57613021941785;-,592618775401597;,801945602331055;-,249745554334002;,12436053173129;,512061947753667;-,0724244728545205;,0488700316061429;,149046708869279;,140969141538418;,223337863068138;1;2,86374254909104
Buick;Century;91,561;12,475;0;21,975;3,1;175;109;72,7;194,6;3,368;17,5;25;4,51700541682464;-,488761675860531;-,592618775401597;-,377361044563886;,0374311518780703;-,193097989270037;,197979390022713;,449031731698086;,540242927521013;-,0159013171483485;-,116237713198343;,270037158265005;1;4,51700541682464
